school,index,title,source,status,difficulty,scope,readme_section,relative_path,duplicate_group,dedupe_decision,notes
上海交通大学,001,最长连续递增序列,保研,已整理,简单,模拟,已整理题目,schools/上海交通大学/001-最长连续递增序列.md,,keep,
上海交通大学,002,WERTYU,保研,已整理,简单,"字符串,模拟",已整理题目,schools/上海交通大学/002-WERTYU.md,上海交通大学-dup-01,review,同文件重复题名，近重复待复核
上海交通大学,003,WERTYU,保研,已整理,简单,模拟,已整理题目,schools/上海交通大学/003-WERTYU.md,上海交通大学-dup-01,review,同文件重复题名，近重复待复核
上海交通大学,004,棋盘遍历问题,保研,已整理,中等,"图论,数学",已整理题目,schools/上海交通大学/004-棋盘遍历问题.md,,keep,
上海交通大学,005,正方形数组的数目,保研,已整理,困难,"搜索,DFS,回溯",已整理题目,schools/上海交通大学/005-正方形数组的数目.md,,keep,
上海交通大学,006,二次方程计算器,保研,已整理,中等,"数学,字符串,模拟",已整理题目,schools/上海交通大学/006-二次方程计算器.md,,keep,
上海交通大学,007,数字反转,保研,已整理,简单,"模拟,数学",已整理题目,schools/上海交通大学/007-数字反转.md,上海交通大学-dup-02,review,近重复待复核
上海交通大学,008,棋盘游戏,保研,已整理,中等,"图论,最短路",已整理题目,schools/上海交通大学/008-棋盘游戏.md,上海交通大学-dup-03,remove,
上海交通大学,009,最长公共无数字子串,保研,已整理,中等,"动态规划,字符串",已整理题目,schools/上海交通大学/009-最长公共无数字子串.md,上海交通大学-dup-04,review,近重复待复核
上海交通大学,010,后缀子串排序,保研,已整理,简单,"字符串,排序",已整理题目,schools/上海交通大学/010-后缀子串排序.md,,keep,
上海交通大学,011,Old Bill,保研,已整理,简单,"枚举,数学",已整理题目,schools/上海交通大学/011-Old Bill.md,,keep,
上海交通大学,012,Zero,保研,已整理,简单,模拟,已整理题目,schools/上海交通大学/012-Zero.md,,keep,
上海交通大学,013,Sum of Factorials,考研,已整理,简单,"枚举,数学",已整理题目,schools/上海交通大学/013-Sum of Factorials.md,,keep,
上海交通大学,014,String to int,考研,已整理,简单,"字符串,模拟",已整理题目,schools/上海交通大学/014-String to int.md,,keep,
上海交通大学,015,Powerful Calculator,考研,已整理,中等,"字符串,数学,模拟",已整理题目,schools/上海交通大学/015-Powerful Calculator.md,,keep,
上海交通大学,016,最长公共子序列,考研,已整理,困难,"动态规划,二分",已整理题目,schools/上海交通大学/016-最长公共子序列.md,,keep,
上海交通大学,017,Pre,考研,已整理,困难,"树,递归,动态规划",已整理题目,schools/上海交通大学/017-Pre.md,,keep,
上海交通大学,018,倒水问题,考研,已整理,中等,"搜索,BFS",已整理题目,schools/上海交通大学/018-倒水问题.md,,keep,
上海交通大学,019,路径打印,考研,已整理,简单,"树,字符串,排序",已整理题目,schools/上海交通大学/019-路径打印.md,,keep,
上海交通大学,020,最长公共子串,考研,已整理,中等,"动态规划,字符串",已整理题目,schools/上海交通大学/020-最长公共子串.md,上海交通大学-dup-04,review,近重复待复核
上海交通大学,021,平衡字符串,考研,已整理,困难,"双指针,前缀和,字符串",已整理题目,schools/上海交通大学/021-平衡字符串.md,,keep,
上海交通大学,022,日期差值,考研,已整理,简单,"模拟,数学",已整理题目,schools/上海交通大学/022-日期差值.md,,keep,
上海交通大学,023,计算表达式,考研,已整理,简单,"栈,字符串,模拟",已整理题目,schools/上海交通大学/023-计算表达式.md,,keep,
上海交通大学,024,取中值,考研,已整理,简单,"模拟,数学",已整理题目,schools/上海交通大学/024-取中值.md,,keep,
上海交通大学,025,数字反转,考研,已整理,简单,"模拟,数学",已整理题目,schools/上海交通大学/025-数字反转.md,上海交通大学-dup-02,review,近重复待复核
上海交通大学,026,Simple Sorting,考研,已整理,简单,排序,已整理题目,schools/上海交通大学/026-Simple Sorting.md,,keep,
上海交通大学,027,WERTYU,考研,已整理,简单,"字符串,模拟",已整理题目,schools/上海交通大学/027-WERTYU.md,上海交通大学-dup-01,review,近重复待复核
上海交通大学,028,Fibonacci,保研,待补充,待定,,待补充题目,schools/上海交通大学/028-Fibonacci.md,,keep,
上海交通大学,029,整除问题,保研,待补充,待定,,待补充题目,schools/上海交通大学/029-整除问题.md,,keep,
上海交通大学,030,最长平衡子串,保研,待补充,待定,,待补充题目,schools/上海交通大学/030-最长平衡子串.md,,keep,
上海交通大学,031,最短路径,保研,待补充,待定,,待补充题目,schools/上海交通大学/031-最短路径.md,,keep,
上海交通大学,032,Simple Sorting,保研,待补充,待定,,待补充题目,schools/上海交通大学/032-Simple Sorting.md,,keep,
上海交通大学,033,最低票价,保研,待补充,待定,,待补充题目,schools/上海交通大学/033-最低票价.md,,keep,
上海交通大学,034,The Faded Turkey Bill,保研,待补充,待定,,待补充题目,schools/上海交通大学/034-The Faded Turkey Bill.md,,keep,
上海交通大学,035,最长公共子序列,保研,待补充,待定,,待补充题目,schools/上海交通大学/035-最长公共子序列.md,,keep,
上海交通大学,036,日期差值,保研,待补充,待定,,待补充题目,schools/上海交通大学/036-日期差值.md,,keep,
上海交通大学,037,计算表达式,保研,待补充,待定,,待补充题目,schools/上海交通大学/037-计算表达式.md,,keep,
上海交通大学,038,Prime Number,保研,待补充,待定,,待补充题目,schools/上海交通大学/038-Prime Number.md,,keep,
